symbol,avgMean,avgR,avgUV,avgS,avgM1,avgM3,avgM4,avgL,pctMean,pctR,pctUV,pctS,pctM1,pctM3,pctM4,pctL
ntpcr,0.0219830731385242,0.0187278010978366,0.05,0,0.0178571428571429,0.0273972602739726,0.0285714285714286,0.0113278791692889,2.19830731385242,1.87278010978366,5,0,1.78571428571429,2.73972602739726,2.85714285714286,1.13278791692889
si:ch1073-266p11.2,0.0096808767702188,0.0100096867936713,0,0,0.0178571428571429,0,0.0285714285714286,0.0113278791692889,0.96808767702188,1.00096867936713,0,0,1.78571428571429,0,2.85714285714286,1.13278791692889
cu651669.1,0.00479911545036155,0.00581207620277688,0,0.0121951219512195,0,0.0136986301369863,0,0.00188797986154814,0.479911545036155,0.581207620277688,0,1.21951219512195,0,1.36986301369863,0,0.188797986154814
disc1,0.00228628584611281,0.00129157248950597,0,0.0121951219512195,0,0,0,0.00251730648206419,0.228628584611281,0.129157248950597,0,1.21951219512195,0,0,0,0.251730648206419
tsnax,0.00769168546000629,0.00258314497901195,0.05,0,0,0,0,0.0012586532410321,0.769168546000629,0.258314497901195,5,0,0,0,0,0.12586532410321
egln1a,0.000228286569663647,0.00096867936712948,0,0,0,0,0,0.000629326620516048,0.0228286569663647,0.096867936712948,0,0,0,0,0,0.0629326620516048
irf2bp2a,0.000638732120080013,0.00258314497901195,0,0,0,0,0,0.00188797986154814,0.0592604531169085,0.226025185663545,0,0,0,0,0,0.188797986154814
tomm20a,0.26803606285082,0.182757507265095,0.15,0.341463414634146,0.321428571428571,0.342465753424658,0.185714285714286,0.352422907488987,22.0805092533659,15.6926057474976,15,26.8292682926829,25,27.3972602739726,17.1428571428571,27.5015733165513
tomm20a.1,0.00363411956439416,0.00548918308040039,0,0,0,0,0.0142857142857143,0.00566393958464443,0.363411956439416,0.548918308040039,0,0,0,0,1.42857142857143,0.566393958464443
ggps1,0.0181777457095034,0.0109783661608008,0,0.0487804878048781,0,0.0273972602739726,0.0142857142857143,0.025802391441158,1.63456816278269,1.09783661608008,0,3.65853658536585,0,2.73972602739726,1.42857142857143,2.51730648206419
b3galnt2,0.00392806804777828,0.00774943493703584,0,0.0121951219512195,0,0,0,0.00755191944619257,0.392806804777828,0.774943493703584,0,1.21951219512195,0,0,0,0.755191944619257
lyst,0.000318190372594511,0.00096867936712948,0,0,0,0,0,0.0012586532410321,0.0318190372594511,0.096867936712948,0,0,0,0,0,0.12586532410321
nid1a,0.00504223840967162,0.00290603810138844,0,0,0,0.0136986301369863,0.0142857142857143,0.00440528634361234,0.504223840967162,0.290603810138844,0,0,0,1.36986301369863,1.42857142857143,0.440528634361234
gpr137ba,0.00582082201105198,0.00419761059089441,0,0,0.0178571428571429,0,0.0142857142857143,0.00440528634361234,0.582082201105198,0.419761059089441,0,0,1.78571428571429,0,1.42857142857143,0.440528634361234
pkz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eif2ak2,0.00227145427108525,0.00161446561188247,0,0,0,0,0.0142857142857143,0,0.227145427108525,0.161446561188247,0,0,0,0,1.42857142857143,0
gpatch11,0.0483003788003341,0.0700678075556991,0,0.0609756097560976,0.0357142857142857,0.0136986301369863,0.0714285714285714,0.0862177470106986,4.46733133606129,6.65159832095576,0,6.09756097560976,3.57142857142857,1.36986301369863,5.71428571428571,7.8665827564506
mypn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cacul1,0.00764538273933406,0.00645786244752987,0,0.0121951219512195,0,0,0.0285714285714286,0.00629326620516048,0.764538273933406,0.645786244752987,0,1.21951219512195,0,0,2.85714285714286,0.629326620516048
sirt1,0.0173916473263132,0.0177591217307071,0.05,0.0121951219512195,0,0,0.0285714285714286,0.013215859030837,1.53047034108716,1.74362286083306,5,1.21951219512195,0,0,1.42857142857143,1.3215859030837
dnajc12,0.0773493998516958,0.0371327090732967,0.05,0.0975609756097561,0.0892857142857143,0.123287671232877,0.0428571428571429,0.101321585903084,7.43065529294258,3.51953503390378,5,9.75609756097561,8.92857142857143,10.958904109589,4.28571428571429,9.56576463184393
cox5b2,0.019123180320547,0.0103325799160478,0,0.0121951219512195,0.0178571428571429,0.0684931506849315,0.0142857142857143,0.0106985525487728,1.29779246746925,0.904100742654181,0,1.21951219512195,1.78571428571429,2.73972602739726,1.42857142857143,1.00692259282568
herc4,0.000405742800634384,0.000322893122376493,0,0,0,0,0,0.00251730648206419,0.0405742800634384,0.0322893122376493,0,0,0,0,0,0.251730648206419
ccnj,8.9903802930864E-05,0,0,0,0,0,0,0.000629326620516048,0.0089903802930864,0,0,0,0,0,0,0.0629326620516048
blnk,8.9903802930864E-05,0,0,0,0,0,0,0.000629326620516048,0.0089903802930864,0,0,0,0,0,0,0.0629326620516048
vent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kndc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabz01078663.1,8.9903802930864E-05,0,0,0,0,0,0,0.000629326620516048,0.0089903802930864,0,0,0,0,0,0,0.0629326620516048
